domaine,annee,nom_module,niveau,classe,nb_groupes,anglais,charge_horaire,coordinateur,nouveau_module,ecole,lien_github,lien_youtube,lien_blackboard,remarque
Mathématiques et Statistiques,2016-2017,Mathématiques 1,Licence,LFG,1,False,42,True,True,ESB,https://github.com/Aymenbenbrik/Mathematiques1,,https://esprit.blackboard.com/ultra/courses/_3744_1/outline,Comment adapter les mathématiques pour des étudiants de management ?
Encadrement et soutien,2016-2017,Cours de soutien,Licence,—,1,False,15,True,False,ESB,,,,
Mathématiques et Statistiques,2016-2017,Mathématiques 1,Licence,LFIG,2,False,84,True,True,ESB,https://github.com/Aymenbenbrik/Mathematiques1,,https://esprit.blackboard.com/ultra/courses/_3744_1/outline,Comment adapter les mathématiques pour des étudiants de management ?
Mathématiques et Statistiques,2016-2017,Mathématiques 2,Licence,LFG,1,False,42,True,True,ESB,https://github.com/Aymenbenbrik/Mathematiques2,,https://esprit.blackboard.com/ultra/courses/_3042_1/outline,Motivation des étudiants par des exemples proche de leurs domaines souhaité : La gestion et l'informatique.
Mathématiques et Statistiques,2016-2017,Mathématiques 2,Licence,LFIG,2,False,84,True,True,ESB,https://github.com/Aymenbenbrik/Mathematiques2,,https://esprit.blackboard.com/ultra/courses/_26570_1/outline,Motivation des étudiants par des exemples proche de leurs domaines souhaité : La gestion et l'informatique.
Encadrement et soutien,2016-2017,Cours de soutien,Licence,—,1,False,15,True,False,ESB,,,,
Mathématiques et Statistiques,2016-2017,Statistiques descriptives et Probabilités,Licence,LFG,2,False,105,True,True,ESB,https://github.com/Aymenbenbrik/StatistiquesDescriptivesProbabilites,,https://esprit.blackboard.com/ultra/courses/_2969_1/outline,Commencer à intégrer les outils statistiques aux cours (inclure des Tps de SPSS)
Mathématiques et Statistiques,2016-2017,Statistiques descriptives et Probabilités,Licence,LFIG,1,False,52,True,True,ESB,https://github.com/Aymenbenbrik/StatistiquesDescriptivesProbabilites,,https://esprit.blackboard.com/ultra/courses/_3733_1/outline,Commencer à intégrer les outils statistiques aux cours (inclure des Tps de SPSS)
Mathématiques et Statistiques,2017-2018,Mathématiques 1,Licence,LFG,1,False,42,True,False,ESB,https://github.com/Aymenbenbrik/Mathematiques1,,https://esprit.blackboard.com/ultra/courses/_3744_1/outline,
Mathématiques et Statistiques,2017-2018,Statistiques inférentielles,Licence,LFG,2,False,84,True,True,ESB,https://github.com/Aymenbenbrik/StatistiquesInferentiellesLicence,,https://esprit.blackboard.com/ultra/courses/_3845_1/outline,
Sciences des données,2017-2018,Recherche Opérationnelle,Licence,LFIG,2,False,42,True,True,ESB,https://github.com/Aymenbenbrik/RechercheOperationnelle | https://github.com/Aymenbenbrik/RechercheOperationnelleLicence,,https://esprit.blackboard.com/ultra/courses/_2178_1/outline,
Mathématiques et Statistiques,2017-2018,Logique Mathématique,Licence,LFIG,2,False,42,True,True,ESB,https://github.com/Aymenbenbrik/LogiqueMathematique,,https://esprit.blackboard.com/ultra/courses/_26560_1/outline,
