date,intitule,type,role,lieu,lien
2023-01-15,Formation AI - Training of Trainers ESB - Machine Learning,Animation formation,AI Instructor,ESB Tunis,
2023-04-15,Formation AI - Training of Trainers ESB - Deep Learning,Animation formation,AI Instructor,ESB Tunis,
2023-09-15,Formation AI - Training of Trainers ESB - NLP,Animation formation,AI Instructor,ESB Tunis,
2024-01-15,Formation AI - Training of Trainers ESB - Transformers,Animation formation,AI Instructor,ESB Tunis,
2024-04-15,Formation AI - Training of Trainers ESB - LLM,Animation formation,AI Instructor,ESB Tunis,
2024-06-01,HUU Task Force AI - réunion stratégique,Réunion stratégique,Représentant ESB,Honoris United University,
2024-09-01,Lancement programme Alternance BA Business Analytics x Generative AI - Jems Group,Lancement programme,Co-Responsable,ESB Tunis - Jems Group,
2023-06-01,Création équipe de recherche AI4U,Création équipe,Head of Research Team,Esprit Tech,
2018-08-15,IHEC SUMMER SCHOOL - Data Science for Finance,École d'été,Participant,Tunis - IHEC,
2019-08-15,CIMPA 2019 - Science des données pour l'ingénierie et la technologie,École d'été,Participant,Tunisie,
2019-03-15,Visite SUP'DE COM Lyon (programme ERASMUS),Mobilité enseignant,Visiteur,Lyon - France,
2017-09-01,Concours d'admission ESB - Tunis,Concours,Jury entretiens oraux + Resp. Logique,ESB Tunis,
2018-04-22,Concours d'admission Cameroun #1,Concours,Responsable,Cameroun,
2018-07-01,Concours d'admission Cameroun #2 - Logique,Concours,Responsable,Cameroun,
2018-07-29,Concours d'admission Cameroun #3 - Logique,Concours,Responsable,Cameroun,
2018-08-19,Concours d'admission Cameroun #4 - Logique,Concours,Responsable,Cameroun,
2019-04-14,Concours d'admission Cameroun 2019 - Logique 1,Concours,Responsable,Cameroun,
2019-06-30,Concours d'admission Cameroun 2019 - CG2,Concours,Responsable,Cameroun,
2019-08-04,Concours d'admission Cameroun 2019 - CG3,Concours,Responsable,Cameroun,
2018-03-15,Journées portes ouvertes ESB 2018 - atelier Jeux de logique,Animation,Animateur,ESB Tunis,
2017-11-01,APP0 ESB - coaching projets,Coaching étudiants,Coach,ESB Tunis,
2018-02-01,Atelier Jeux de Logique BALC'ON,Animation,Animateur,ESB Tunis,
2018-02-01,Préparation Tage Mage - Atelier Raisonnement logique (30 étudiants),Animation,Animateur+Responsable,ESB Tunis,
2018-03-01,Atelier Citoyen Digital BALC'ON,Animation,Animateur,ESB Tunis,
2018-11-01,Atelier programmation 1LFIG BALC'ON,Animation,Animateur,ESB Tunis,
2019-03-01,Encadrement projet Journal Télévisé BALC'ON,Coaching+Jury,Encadrant,ESB Tunis,
2019-11-01,Atelier programmation 1LBC BALC'ON,Animation,Animateur,ESB Tunis,
2020-03-01,Encadrement projet Émission Radio BALC'ON,Coaching+Jury,Encadrant,ESB Tunis,
2017-12-01,Visite entreprise Sigma Conseil avec 1LFG2,Visite entreprise,Encadrant,Tunis,
2018-02-01,Visite entreprise Ooredoo avec 1LFG4,Visite entreprise,Encadrant,Tunis,
2019-02-01,Visite entreprise Telnet avec 2LFIG1,Visite entreprise,Encadrant,Tunis,
2018-07-01,Stage été ESB - encadrement Ahmed Anis Nsiri (SPSS),Encadrement stage,Encadrant,ESB Tunis,
2018-09-01,École d'été Improve your Maths,Animation,Organisateur+Animateur,ESB Tunis,
2018-04-15,Festival Fespaco - hommage cinéma Burkinabais (B-Movie),Événement culturel,Organisateur,ESB Tunis,
2018-11-15,Festival Fest-In - cinéma lusophone (B-Movie x Ambassade Brésil),Événement culturel,Co-organisateur,ESB Tunis,
2020-09-01,Création MAD University Club,Création club,Tuteur fondateur,ESB Tunis,
2024-09-01,Lancement parcours MDSI - Vermeg (mémoires masters),Lancement programme,Co-Responsable,ESB Tunis - Vermeg,
2024-09-01,Partenariat ODDO-BHF - PI Master BA (conception encadrement et jury),Partenariat industriel,Encadrant,ESB Tunis,
2024-10-01,Partenariat Metavoria - 4 PFE Product Owner,Partenariat start-up,Product Owner,Tunis,
2023-09-01,Partenariat Al TAQA STRATEGY - PFE Master BA,Partenariat industriel,Product Owner,Tunis,
2025-09-01,Partenariat Vistasy Start-up - PFE Master BA,Partenariat start-up,Maître de stage,Tunis,
